"PROJECT_ID","PROJECT_NAME","PROJECT_NAME_1","P2_SUB_IDENTIFIER","RISK_ID","RISK_IDENTIFIER","RISK_TREATMENT_ID","RISK_TREATMENT_IDENTIFIER","RISKOWNERDISCIPLINE","RISKTREATMENTTYPE","PROPOSED_RISK_TREATMENT","COST_IMPACT_RISK_TREATMENT","SCHEDULE_IMPACT_RISK_TREATMENT","RECOMMENDED_BY_PDT","IMPLEMENTED","LOCKSTATUS","EDITDATE"
3431,"Virginia Beach Coastal Storm Risk Management, VA","Virginia Beach Coastal Storm Risk Management, VA","",37,"RLE-37",1,"RLE-37-1","Real Estate","Transfer/Share","Try contacting private utility providers and work with NFS to obtain better utility/facility information.
",0,0,0,0,0,18-SEP-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",12,"EHH-12",1,"EHH-12-1","Engineering - Hydrology and Hydraulics","Avoidance","Coordinate with Real Estate early on and throughout the process.",0,0,1,1,0,07-FEB-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",12,"EHH-12",2,"EHH-12-2","Engineering - Hydrology and Hydraulics","Avoidance","Consider private oyster leases constraints when evaluating measures/alternatives.",0,0,1,1,0,07-FEB-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",12,"EHH-12",4,"EHH-12-4","Engineering - Hydrology and Hydraulics","Avoidance","Screen proposed alternatives that encroach in to the oyster lease.",0,0,0,1,0,07-FEB-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",14,"EHH-14",1,"EHH-14-1","Engineering - Hydrology and Hydraulics","Prevention","On going communication and coordination with the PDT.",0,0,1,0,0,28-NOV-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",12,"EHH-12",3,"EHH-12-3","Engineering - Hydrology and Hydraulics","Prevention","Conversations with VMRC and private oyster lease holder during planning phase to identify and mitigate potential impacts. Both VMRC and the lease holder advised they don't expect impacts of permitting and/or oyster operations if recommended plan does not encroach into leases. No specific buffer requirements identified; however, maintaining a buffer to the greatest extent possible is a goal for safety and protection of the federal project.",0,0,1,1,0,07-FEB-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",13,"EHH-13",1,"EHH-13-1","Engineering - Hydrology and Hydraulics","Prevention","Regular PDT meetings, communication, and coordination to help reduce the potential impacts.",0,0,1,0,0,28-NOV-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",11,"EHH-11",1,"EHH-11-1","Engineering - Hydrology and Hydraulics","Prevention","Surveys prior to starting design phase.",250000,365,0,0,0,12-FEB-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",15,"PLP-15",1,"PLP-15-1","Planning - Plan Formulation","Avoidance","To avoid impacts from the risk, the PDT will take extra precautions to distinguish between the DCR Master Planning process and the USACE feasibility study when publishing documents or otherwise communicating with the public/external stakeholders. The integration of the Middle Peninsula Unit into Machicomoco State Park will be referenced, with a disclaimer that the feasibility study will continue on with the name ""Middle Peninsula State Park.""",0,0,1,1,0,24-JAN-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",19,"PLP-19",1,"PLP-19-1","Planning - Plan Formulation","Prevention","The PDT will estimate costs for both methods of removal.",0,0,1,1,0,25-MAR-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",19,"PLP-19",2,"PLP-19-2","Planning - Plan Formulation","Prevention","The PDT will examine both methods and consider potential environmental and safety risks related to each. Coordination with other environmental agencies will also be utilized to help determine the best course of action and mitigate any potential risks.",0,0,1,1,0,25-MAR-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",17,"PLP-17",1,"PLP-17-1","Planning - Plan Formulation","Transfer/Share","Due to minimal design effort during the feasibility phase, it is accepted that plan formulation is based on existing data and limited analysis. However, there is a lot of available data and similar projects in the area to help inform the study. ",0,0,0,0,0,12-FEB-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",5,"PLC-5",1,"PLC-5-1","Planning - Cultural Resources","Avoidance","After confirmation of discovery, avoid identified cultural resources if found during construction. If cannot avoid, the project will protect.",0,0,1,0,0,27-NOV-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",5,"PLC-5",2,"PLC-5-2","Planning - Cultural Resources","Prevention","Cultural resources survey phase 1 to be completed during design phase.",0,0,1,0,0,27-NOV-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",5,"PLC-5",3,"PLC-5-3","Planning - Cultural Resources","Prevention","Study boundary updated to avoid potential impacts to archaeological site 44GL0255 on the SE end after confirmation from NFS received at PDT meeting 18 SEP 2023.",0,0,0,1,0,28-NOV-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",4,"PLC-4",1,"PLC-4-1","Planning - Cultural Resources","Transfer/Share","The project area will be refined by delivering a map of existing cultural resource sites and SOW to the on-call consultant for VDCR.",0,0,0,1,0,27-NOV-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",18,"PLE-18",1,"PLE-18-1","Planning - Economics","Prevention","Economics is taking action to make sure this risk is not realized by working with team members and district leadership to ensure the best available data is being used for analysis. Risk mitigation efforts are ongoing and have the potential to impact project costs and schedule.",1,1,0,0,0,14-FEB-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",7,"PLN-7",1,"PLN-7-1","Planning - Environmental","Avoidance","If nests are discovered, confirm if the nest is an eagle's nest and avoid if confirmed.",0,0,1,0,0,27-NOV-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",3,"PRM-3",2,"PRM-3-2","Project Management","Prevention","Coordination with Sec 510 Program Manager.",0,0,0,1,0,14-FEB-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",3,"PRM-3",1,"PRM-3-1","Project Management","Transfer/Share","The PDT will work efficiently to complete tasks and keep up-to-date with the latest processes. Constant monitoring of project status and funds will be implemented to reduce the risk of potential guidance changes.",0,0,0,1,0,27-NOV-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",6,"RLE-6",1,"RLE-6-1","Real Estate","Avoidance","Examine all possibilities for laydown and construction access during feasibility to allow ample time/consideration of real estate requirements to be completed prior to construction.",0,0,1,0,0,27-NOV-23
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",1,"RLE-1",1,"RLE-1-1","Real Estate","Avoidance","Screen proposed alternatives that encroach into the oyster lease.",0,0,0,1,0,07-FEB-24
4172,"Middle Peninsula State Park","Middle Peninsula State Park","",1,"RLE-1",2,"RLE-1-2","Real Estate","Prevention","Conversations with VMRC and private oyster lease holder during planning phase to identify and mitigate potential impacts. Both VMRC and the lease holder advised they don't expect impacts to permitting and/or oyster operations if recommended plan does not encroach into leases. No specific buffer requirements identified.",0,0,0,1,0,07-FEB-24
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",17,"EGT-17",1,"EGT-17-1","Engineering - Geotechnical","Avoidance","If no cost-effective source areas are identified for use, the construction plans would not include an NNBF or beach restoration unless a source area can be found. ",0,0,0,0,0,01-MAY-23
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",13,"EGT-13",1,"EGT-13-1","Engineering - Geotechnical","Prevention","During  Study Phase, pre-existing subsurface information will be reviewed to create a conceptual site model for subsurface conditions.",0,0,0,0,0,01-MAY-23
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",11,"EHH-11",1,"EHH-11-1","Engineering - Hydrology and Hydraulics","Prevention","The PDT is coordinating with the CPR CoP and will formulate to the SLC Curve best suited for our study areas as per the recommendation of the CPR CoP and the hydraulic and hydrologic specialist.",0,15,0,0,0,01-MAY-23
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",15,"EHH-15",1,"EHH-15-1","Engineering - Hydrology and Hydraulics","Prevention","The team can recommend a more conservative approach than the current science is forecasting. The design could be scaled back at the time of construction phase, if deemed desirable.",0,0,0,0,0,01-MAY-23
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",12,"OTH-12",1,"OTH-12-1","Other","Prevention","Identifying the risk in feasibility and identifying the stakeholders and utility owners will mitigate the risk.  Additionally, involving the correct stakeholders will ensure the appropriate level of contingency and risk is included in the cost analysis which feeds the total project cost presented to Congress for authorization.",0,0,0,0,0,01-MAY-23
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",2,"OTH-2",1,"OTH-2-1","Other","Transfer/Share","There are no additional opportunities for an increase in the budget due to budgetary constraints on the side of the non-federal sponsor. So, the risk to the project is accepted and no mitigation is currently available for this project. ",0,0,0,0,0,25-APR-23
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",19,"PLN-19",1,"PLN-19-1","Planning - Environmental","Avoidance","If Alternative 3 were to impact the superfund site at mitchell avenue, then the PDT would remove that part of the alternative to avoid impacting the HTRW. ",0,5,0,0,0,01-MAY-23
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",3,"PLN-3",1,"PLN-3-1","Planning - Environmental","Prevention","The mitigation strategy is to formulate alternatives that avoid the CBRA areas. ",0,0,0,1,0,25-APR-23
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",21,"PLN-21",1,"PLN-21-1","Planning - Environmental","Transfer/Share","Accept the risk until a decision is made on whether an EIS will be prepared. ",0,0,0,0,0,02-MAY-23
3652,"DE Inland Bay/Bay Coast","DE Inland Bay/Bay Coast","",14,"COM-14",1,"COM-14-1","Public Affairs","Prevention","The PDT will develop a community outreach plan that parallels the technical/planning/NEPA process to ensure community opportunities to participate in the process.  Where we can't avoid cutting access off, there will be plenty of opportunity to explain why and what alternatives were evaluated.",0,20,0,0,0,01-MAY-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",56,"CNT-56",1,"CNT-56-1","Contracting","Transfer/Share","Accept and attempt to account for in cost estimate by routine TPCS updates.",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",63,"ECS-63",1,"ECS-63-1","Engineering - Cost","Transfer/Share","Accept cost engineering assumptions related to inflation in total project cost estimates. Routinely update estimates to stay current on estimated costs. ",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",64,"ECS-64",1,"ECS-64-1","Engineering - Cost","Transfer/Share","Accept and account for in routine updates to total project cost estimates. ",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",23,"EGT-23",1,"EGT-23-1","Engineering - Geotechnical","Prevention","Phase 1 drilling early in project will provide more subsurface infomration to better inform ground improvement needs and associated costs.",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",26,"EGT-26",1,"EGT-26-1","Engineering - Geotechnical","Prevention","During cost estimate update review this assumption and verify if this is feasible and adjust cost as necessary. Consider if we want to identify an adequate borrow source for this contract. ",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",12,"EGT-12",1,"EGT-12-1","Engineering - Geotechnical","Prevention","Phase 1 drilling early in project will provide more subsurface information to better inform ground improvement needs and associated costs.",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",65,"EHH-65",1,"EHH-65-1","Engineering - Hydrology and Hydraulics","Prevention","Update the climate assessment from the FS appendix  to be consistent with the latest guidance and/or tools. There are some small-scale study templates and review checklists (in the  review guide)that can be used. ",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",66,"EHH-66",1,"EHH-66-1","Engineering - Hydrology and Hydraulics","Prevention","Consider necessary resilience measures early in design. ",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",61,"OTH-61",1,"OTH-61-1","Other","Prevention","Continue to maintain relationship with city and other stakeholders. City will work with community to communicate the project objectives and work to resolve concerns and conflicts to maximize buy-in of the community. USACE will look for opportunities for the project to align with the city's development interests.",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",2,"PRM-2",1,"PRM-2-1","Project Management","Prevention","Meet with city - design charrette to find opportunities to improve the flood protection and reduce costs between Johnson Drive and where the creek crosses under Merriam Drive. Similiar response to NED plan change response.",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",3,"PRM-3",1,"PRM-3-1","Project Management","Prevention","H&H review feasibility study detention recommendation, review current requirements, and validate assumptions to minimize risk that recommended plan is inadequate.",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",62,"PRM-62",1,"PRM-62-1","Project Management","Prevention","Account for extra time in schedule needed for changes in engineering support. ",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",1,"PRM-1",1,"PRM-1-1","Project Management","Prevention","Meet with City - design charrette to go over areas to improve to meet FEMA requirements. Possibly meet with FEMA to better understand criteria.",120000,45,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",60,"PRM-60",1,"PRM-60-1","Project Management","Transfer/Share","Risk is very low since we have adequate funds to complete design.",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",29,"RLE-29",1,"RLE-29-1","Real Estate","Prevention","Got utility information via the topo survey early in design. Now the boundary survey is starting so that PDT can review utility easements early in design. ",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",32,"RLE-32",1,"RLE-32-1","Real Estate","Prevention","Account for 2 years for Real Estate acquisition to account for condemnation. Identify early properties that may result in condemnation and start those acquisitions earlier if possible.",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",42,"EPE-42",1,"EPE-42-1","Construction - Project Engineer","Prevention","Accounted for in cost estimate and schedule. PDT can review survey and recommend additional investigations where needed to further identify unknowns.",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",41,"EPE-41",1,"EPE-41-1","Construction - Project Engineer","Prevention","Coordinate with sponsor for some city property for staging purposes. Currently city property is near the project that could be used for staging. Need to coordinate to see if it will be available for this construction contract. ",0,0,1,0,0,02-OCT-23
3931,"UPPER TURKEY CREEK FRM","UPPER TURKEY CREEK FRM","",38,"EPE-38",1,"EPE-38-1","Construction - Project Engineer","Transfer/Share","Accept risk and to minimize keep construction on schedule.",0,0,1,0,0,02-OCT-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",1,"EGT-1",1,"EGT-1-1","Engineering - Geotechnical","Prevention","Perform enough borings to capture magnitude of underseepage berms and relief wells during feasibility.",150000,180,1,0,0,11-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",2,"EGT-2",1,"EGT-2-1","Engineering - Geotechnical","Prevention","Capture enough borings to get estimate of settlement along levee adequate to capture magnitude of levee height and real estate correct.",50000,180,0,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",3,"EGT-3",1,"EGT-3-1","Engineering - Geotechnical","Prevention","Get enough Borings to get foundation soil magnitude reasonably close.",75000,365,0,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",13,"EGT-13",1,"EGT-13-1","Engineering - Geotechnical","Prevention","Obtain additional borings if needed",100000,180,0,0,0,28-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",14,"EGT-14",1,"EGT-14-1","Engineering - Geotechnical","Prevention","Additional borings would need to be done. ",100000,180,0,0,0,28-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",24,"EGT-24",1,"EGT-24-1","Engineering - Geotechnical","Transfer/Share","Team will continue to work the issue. ",20000,0,1,0,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",18,"EHH-18",1,"EHH-18-1","Engineering - Hydrology and Hydraulics","Prevention","Team will add increased modeling both upstream and downstream ",10000,30,1,0,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",4,"EHH-4",1,"EHH-4-1","Engineering - Hydrology and Hydraulics","Prevention","The team will closely coordinate with the system plan model. However, the purpose of being able to spin-off studies early was to get to construction projects quicker so the team does not want to delay the spin-offs and will accomade modeling as needed.  ",50000,180,0,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",5,"EHH-5",1,"EHH-5-1","Engineering - Hydrology and Hydraulics","Prevention","Targeted ATR to get buy-in on FWOP conditions..",10000,30,1,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",10,"EHH-10",1,"EHH-10-1","Engineering - Hydrology and Hydraulics","Transfer/Share","Ensure model is expanded sufficiently upstream and downstream",40000,30,1,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",17,"ECV-17",1,"ECV-17-1","Engineering - Civil","Mitigation","Responsibility would be on utility owner to resolve issue and relocate utility",0,90,0,0,0,28-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",11,"ECV-11",1,"ECV-11-1","Engineering - Civil","Transfer/Share","PDT assumes initial surveys and as-builts will be adequate; additional work will be done if risk is realized. ",20000,30,0,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",27,"ECV-27",1,"ECV-27-1","Engineering - Civil","Transfer/Share","Accept risk that additional utilities will be added between feasibility and PED.",10000,60,0,0,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",22,"OTH-22",1,"OTH-22-1","Other","Transfer/Share","The team will continue to communicate the study area. ",6000,0,1,0,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",26,"PLC-26",1,"PLC-26-1","Planning - Cultural Resources","Transfer/Share","Team is accepting the risk and pushing it to the PED phase. ",100000,180,0,0,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",19,"PLE-19",1,"PLE-19-1","Planning - Economics","Prevention","Team will perform additional field surveys to ensure accuracy. ",6000,0,1,0,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",12,"PLE-12",1,"PLE-12-1","Planning - Economics","Prevention","Early identification of who benefits in FWOP development",10000,30,0,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",21,"PLE-21",1,"PLE-21-1","Planning - Economics","Transfer/Share","Team will evaluate the previously authorized project. ",12000,10,1,1,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",23,"PLE-23",1,"PLE-23-1","Planning - Economics","Transfer/Share","The team will accept that a waiver may be needed. ",10000,60,0,0,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",16,"PLN-16",1,"PLN-16-1","Planning - Environmental","Avoidance","Coordinate with FAA and airport personnel to determine acceptable locations for borrow area and wetland mitigation area placement.",50000,30,0,0,0,28-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",7,"PLN-7",1,"PLN-7-1","Planning - Environmental","Prevention","Continue coordination with wetland-related resource agencies to identify opportunities for avoiding, minimizing, and mitigating impacts.",10000,30,0,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",7,"PLN-7",2,"PLN-7-2","Planning - Environmental","Prevention","Continue coordination with wetland-related resource agencies to identify opportunities for avoiding, minimizing, and mitigating impacts.",10000,30,0,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",8,"PLN-8",1,"PLN-8-1","Planning - Environmental","Prevention","Continue ongoing FWCA coordination with USFWS. Continue communicating the different schedule requirements between the System Plan and Jefferson City studies to determine the most appropriate path forward on documenting fish and wildlife coordination.",50000,30,0,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",9,"PLN-9",1,"PLN-9-1","Planning - Environmental","Prevention","Stipulate in the alternatives that any necessary tree clearing must be conducted within the seasonal clearing window (November 1 - March 31) so that these activities are unlikely to adversely affect federally listed bat species.",1000,14,0,0,0,14-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",20,"PRM-20",1,"PRM-20-1","Project Management","Transfer/Share","PM will continue to track but accept the risk. ",20000,60,0,0,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",25,"PRM-25",1,"PRM-25-1","Project Management","Transfer/Share","The team will implement any changes as it can and leadership expectations on project impacts should remain in check. ",50000,180,0,0,0,01-MAY-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",15,"PRM-15",1,"PRM-15-1","Project Management","Transfer/Share","The team is going to have to accept the risk and work through the process with the sponsor and team. ",20000,90,1,0,0,28-APR-23
3574,"Lower Missouri River Jefferson City L-142","Lower Missouri River Jefferson City L-142","",6,"RLE-6",1,"RLE-6-1","Real Estate","Avoidance","At this point, the next steps are not yet determined and are contingent upon the PDT's decision on the path forward. Therefore, we will need to wait until a decision has been made before proceeding with any further actions.",50000,180,0,0,0,14-APR-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",8,"PLP-8",1,"PLP-8-1","Planning - Plan Formulation","Mitigation","Numerous meetings were held with the non-federal sponsors and key stakeholder including conducting a planning charette, small group workshop with over 40 stakeholders, presentations at multiple organizations, meetings with the advisory committee, and numerous meetings with key stakeholder groups.
Using completed existing condition information and future without project conditions an initial screening was conducted to allow refinement of the initial measures and strategies identified. These will continue to be refined during the Recommendation Milestone. 
",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",3,"PLP-3",1,"PLP-3-1","Planning - Plan Formulation","Transfer/Share","Through an open and transparent communications process varying opinions were identified and discussed and generally participants came to agreement on the problems, needs, and opportunities identified. No issues of stakeholder or public dispute over the identification of problems, needs, and opportunities have arisen and generally consensus on these was achieved.",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",11,"PRM-11",1,"PRM-11-1","Project Management","Prevention","Numerous meetings were held with the non-federal sponsors and key stakeholder including conducting a small group workshop with over 40 stakeholders, presentations at multiple organizations, meetings with the advisory committee, and numerous meetings with key stakeholder groups. The risk assessment and uncertainty evaluation refined and identified any additional differences of priorities. This process was also useful in allowing more flexibility in developing recommendations to meet a broader set of needs with recommendations to address low priority issues over time when funding is available. ",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",12,"PRM-12",1,"PRM-12-1","Project Management","Prevention","Through an open and transparent communications process that has occurred periodically throughout the shared vision and recommendations milestones additional ideas were discussed and refined and generally participants came to agreement on the problems, needs, and opportunities. ",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",7,"PRM-7",1,"PRM-7-1","Project Management","Mitigation","Numerous meetings were held with the non-federal sponsors and key stakeholder including conducting a planning charette, small group workshop with over 40 stakeholders, presentations at multiple organizations, meetings with the advisory committee, and numerous meetings with key stakeholder groups. While some differences of priorities were noted a watershed study is broad in its approach which allows more flexibility in developing recommendations to meet a broader set of needs.",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",10,"PRM-10",1,"PRM-10-1","Project Management","Mitigation","Numerous meetings were held with the non-federal sponsors and key stakeholder including conducting a small group workshop with over 40 stakeholders, presentations at multiple organizations, meetings with the advisory committee, and numerous meetings with key stakeholder groups. A risk assessment and uncertainty evaluation was also conducted holding individual focus meeting around the primary issues identified in the basin. This resulted in a framework to inform prioritization of draft recommendations. ",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",1,"PRM-1",1,"PRM-1-1","Project Management","Transfer/Share","Numerous meetings were held with the non-federal sponsors and key stakeholder including conducting a planning charette, small group workshop with over 40 stakeholders, presentations at multiple organizations, meetings with the advisory committee, and numerous meetings with key stakeholder groups. The Project Management Plan was developed in partnership with the non-federal sponsors and approved. ",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",4,"PRM-4",1,"PRM-4-1","Project Management","Transfer/Share","Information gathering was completed and determined adequate to describe the existing conditions. This will be further refined if additional information becomes available during the Recommendations Milestone. 
Additionally, the primary focus of the study is the State of Kansas based on the locations with a high probability of a problem occurring and a high consequence if they occur. Areas in Nebraska and Colorado were described as well but are not the focus.  
",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",6,"PRM-6",1,"PRM-6-1","Project Management","Transfer/Share","Numerous meetings were held with the non-federal sponsors and key stakeholder including conducting a planning charette, small group workshop with over 40 stakeholders, presentations at multiple organizations, meetings with the advisory committee, and numerous meetings with key stakeholder groups. While some differences of priorities were noted a watershed study is broad in its approach which allows more flexibility in developing recommendations to meet a broader set of needs.",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",5,"PRM-5",1,"PRM-5-1","Project Management","Transfer/Share","Information gathering, evaluation/modeling was conducted to describe the future without project conditions. This will be further added to and refined during the Recommendations Milestone.
Models used will be approved or reviewed for use as needed. 
An approach/methodology was vetted through multiple study team members including the Vertical Team. The approach generated valuable information that helped inform and compare strategies and identified need information for recommendations. 
",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",9,"PRM-9",1,"PRM-9-1","Project Management","Transfer/Share","A successful Shared Vision Milestone was conducted and concurrence was received on the decision points discussed and that there was a Federal interest in continuing the watershed study.",0,0,1,1,0,21-AUG-23
2625,"Kansas River Reservoirs Flood and Sediment Study","Kansas River Reservoirs Flood and Sediment Study","",2,"PRM-2",1,"PRM-2-1","Project Management","Transfer/Share","Numerous meetings were held with the non-federal sponsors and key stakeholder including conducting a planning charette, small group workshop with over 40 stakeholders, presentations at multiple organizations, meetings with the advisory committee, and numerous meetings with key stakeholder groups. While some differences of priorities were noted a watershed study is broad in its approach which allows more flexibility in developing recommendations to meet a broader set of needs. No issues of public dispute over the goals and objectives of the Watershed Study have arisen.",0,0,1,1,0,21-AUG-23
